,long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender,gender_predicted
333,1,0.195122,0.05,0,0,0,0,0,0.0
3823,1,0.365854,0.15,1,1,1,0,1,0.9828571428571429
3469,1,0.195122,0.55,1,0,0,0,0,0.0
387,1,0.804878,0.95,1,1,1,1,1,1.0
2090,1,0.04878,0.35,1,1,1,1,1,1.0
2528,1,0.195122,0.35,1,0,1,1,1,1.0
2260,0,0.341463,0.55,0,1,0,0,0,0.0
1715,1,0.463415,0.0,0,0,0,0,0,0.0
4795,1,0.560976,0.05,1,1,1,1,1,1.0
1813,1,0.536585,0.1,1,0,0,0,0,0.0
1233,1,0.536585,0.35,0,0,0,0,0,0.0
2492,0,0.609756,0.85,1,1,1,1,1,1.0
761,1,0.292683,0.0,0,1,1,1,1,0.8828571428571429
926,0,0.146341,0.2,0,0,0,0,0,0.0
2550,1,0.0,0.1,0,1,0,0,0,0.0
3104,0,0.512195,0.05,0,0,0,0,0,0.0
713,1,0.560976,0.1,0,0,0,0,0,0.0
4507,1,0.390244,0.25,0,0,0,0,0,0.0
4354,1,0.292683,0.15,0,1,0,0,0,0.005714285714285714
1803,1,0.439024,0.6,1,1,1,0,1,1.0
2118,1,0.219512,0.1,0,0,0,0,0,0.0
2634,1,0.390244,0.5,0,0,0,0,0,0.0
2026,0,0.219512,0.1,1,1,1,1,1,1.0
2884,0,0.560976,0.25,0,0,0,0,0,0.0
2951,1,0.317073,0.4,1,1,1,1,1,1.0
3682,1,0.95122,0.65,1,1,1,1,1,1.0
4390,1,0.926829,0.95,1,1,1,0,1,1.0
1533,0,0.682927,0.35,0,1,1,1,1,1.0
2084,1,0.609756,0.7,1,0,0,0,0,0.002857142857142857
3212,1,0.219512,0.55,1,1,1,1,1,1.0
1023,0,0.341463,1.0,0,0,1,1,1,0.9828571428571429
3526,1,0.536585,0.15,0,0,0,0,0,0.0
1667,1,0.634146,0.05,1,1,1,1,1,1.0
686,1,0.609756,0.55,0,0,1,0,0,0.0
4556,1,0.341463,0.8,1,1,1,1,1,1.0
1486,1,0.390244,0.1,0,0,0,0,0,0.0
2809,1,0.634146,0.95,1,1,1,1,1,1.0
2459,1,0.414634,0.4,0,0,0,0,0,0.0
1571,1,0.634146,0.1,0,0,0,0,0,0.0
2569,1,0.341463,0.35,0,0,0,0,0,0.0
781,1,0.121951,0.85,0,1,1,1,1,1.0
3741,1,0.121951,0.2,0,0,0,0,0,0.0
523,0,0.682927,0.55,1,0,0,1,1,0.23142857142857143
1030,1,0.292683,0.75,1,1,1,1,1,1.0
875,1,0.414634,0.5,0,0,0,0,0,0.0
2193,1,0.390244,0.7,0,0,0,0,0,0.0
3003,1,0.463415,0.2,0,0,0,0,0,0.0
3787,1,0.634146,0.05,0,0,0,0,0,0.0
2538,1,0.414634,0.55,0,0,0,1,0,0.0
3672,1,0.560976,0.5,0,0,0,0,0,0.15114242899957195
3486,1,0.292683,0.15,0,1,0,0,0,0.005714285714285714
1698,1,0.170732,1.0,1,0,1,1,1,1.0
621,1,0.390244,0.15,0,1,0,1,0,0.18285714285714286
2125,1,0.02439,0.45,1,1,1,1,1,1.0
4240,1,0.463415,0.4,0,0,0,1,0,0.0
1567,1,0.414634,0.65,0,0,0,1,0,0.0
1999,0,0.073171,0.8,1,1,1,1,1,0.9971428571428571
1869,1,0.829268,0.15,1,1,1,1,1,1.0
2844,1,0.97561,0.15,1,1,1,1,1,1.0
2360,1,0.268293,0.5,0,1,0,0,0,0.0
2066,1,0.097561,0.65,0,0,0,0,0,0.0
948,1,0.365854,0.65,0,0,0,1,0,0.0
4092,1,0.487805,0.35,0,0,1,0,0,0.0
273,1,0.95122,0.45,1,1,1,1,1,1.0
1429,1,0.439024,0.75,1,1,1,1,1,1.0
2988,1,0.292683,0.7,0,0,1,0,0,0.0
1940,1,0.121951,0.2,0,1,1,1,1,1.0
4508,0,0.463415,0.1,1,1,1,1,1,1.0
1917,1,0.04878,0.05,1,1,1,0,1,0.9771428571428571
3863,1,0.95122,0.15,1,1,1,1,1,1.0
4706,1,0.146341,0.6,1,1,1,1,1,1.0
393,1,0.341463,0.5,0,0,0,0,0,0.0
4009,1,0.195122,0.1,0,0,0,0,0,0.0
3228,1,0.02439,0.1,0,0,0,0,0,0.0
2788,1,0.634146,0.35,0,0,1,0,0,0.0
3000,1,0.560976,1.0,1,1,0,1,1,1.0
4376,1,0.121951,0.35,0,1,0,0,0,0.0
3161,1,0.707317,0.6,0,1,0,0,0,0.0
3528,1,0.073171,0.0,0,0,0,0,0,0.0
4770,1,0.414634,0.2,1,1,1,1,1,1.0
1491,1,0.02439,0.3,1,1,1,0,1,0.24
2194,1,0.268293,0.75,1,1,1,1,1,1.0
102,1,0.731707,0.3,1,1,1,1,1,1.0
2739,1,0.365854,0.7,1,1,1,1,1,1.0
1526,0,0.146341,0.35,0,0,0,0,0,0.0
1240,1,0.317073,0.4,0,0,1,0,0,0.0
4088,1,0.512195,0.7,0,0,0,0,0,0.0
166,1,0.317073,0.3,1,1,1,1,1,1.0
1548,1,0.926829,0.3,1,1,1,1,1,1.0
834,1,0.487805,0.5,1,1,1,1,1,1.0
2403,1,0.341463,0.05,0,0,0,0,0,0.0
4823,1,0.487805,0.65,0,0,0,0,0,0.0
338,1,0.756098,0.7,0,1,1,1,1,1.0
2926,1,0.658537,0.95,1,0,1,1,1,1.0
1978,1,0.878049,0.2,1,1,1,1,1,1.0
1061,1,0.926829,0.95,1,1,1,1,1,1.0
2429,1,0.536585,0.5,1,0,0,0,0,0.0
2325,1,1.0,0.7,1,1,1,1,1,1.0
765,1,0.0,0.25,0,0,0,0,0,0.0
353,1,0.463415,0.65,1,1,1,1,1,1.0
2965,0,0.414634,0.2,1,1,0,1,1,0.9371428571428572
3269,1,0.95122,0.95,1,1,1,1,1,1.0
4893,1,0.146341,0.1,0,0,0,1,0,0.0
2659,1,0.097561,0.65,0,0,0,0,0,0.0
138,1,0.243902,0.4,1,1,1,1,1,1.0
2613,1,0.853659,0.7,0,1,1,1,1,1.0
4993,1,0.04878,0.4,0,0,0,1,0,0.0
1702,1,0.585366,0.75,1,1,1,1,1,1.0
4688,1,0.02439,0.45,0,1,0,1,0,0.0
3987,1,0.073171,0.7,1,0,1,1,1,0.9028571428571428
4831,0,0.756098,0.35,1,1,1,0,1,1.0
2704,0,0.195122,0.5,1,1,1,1,1,1.0
4765,1,0.121951,0.6,0,1,0,0,0,0.0
2445,1,0.04878,0.0,0,0,0,1,0,0.002857142857142857
4453,1,0.512195,0.45,1,1,1,1,1,1.0
2087,1,0.04878,0.45,0,1,1,0,0,0.13114285714285714
1823,1,0.02439,0.15,1,0,0,0,0,0.0
394,1,0.463415,0.2,0,0,0,0,0,0.0
3778,1,0.0,0.3,0,0,0,0,0,0.0
2011,1,0.341463,0.0,1,1,1,1,1,1.0
2860,1,0.365854,0.9,1,1,1,0,1,1.0
4405,1,0.073171,0.5,0,0,0,0,0,0.0
4345,1,0.95122,0.05,1,1,1,1,1,1.0
3959,1,0.658537,0.6,1,0,1,0,1,0.10571428571428572
812,1,0.463415,0.15,0,0,0,0,0,0.0
4779,1,0.121951,0.8,1,0,1,1,1,0.94
4418,0,0.170732,0.35,0,1,1,0,0,0.3142857142857143
4264,0,1.0,0.45,1,1,1,1,1,1.0
4166,1,0.780488,0.75,1,1,0,1,1,1.0
2498,1,0.536585,0.4,0,0,1,0,0,0.014285714285714285
3744,1,0.390244,0.0,1,0,0,0,0,0.0
4436,1,0.487805,0.15,1,1,1,1,1,1.0
3391,1,0.585366,0.25,0,0,0,0,0,0.0
1649,0,0.658537,0.45,0,0,0,0,0,0.0
777,1,0.292683,0.05,0,0,0,0,0,0.0
4400,1,0.097561,0.5,1,0,0,0,0,0.0
3592,1,0.560976,0.3,0,0,0,0,0,0.0
61,1,0.439024,0.35,0,1,1,1,1,1.0
4771,0,0.414634,0.25,0,0,0,0,0,0.0
4536,0,0.121951,0.15,0,0,0,0,0,0.0
2222,1,0.926829,0.9,1,1,1,1,1,1.0
3278,1,0.341463,0.25,0,0,0,0,0,0.0
2067,1,0.292683,0.7,1,1,1,1,1,1.0
3856,1,0.390244,0.9,1,1,1,0,1,1.0
2921,1,0.634146,0.55,1,1,1,0,1,1.0
2083,1,0.121951,0.05,0,0,0,0,0,0.0
2541,1,0.439024,0.2,1,1,1,1,1,1.0
63,0,0.707317,0.25,1,1,1,1,1,1.0
2949,1,0.780488,0.95,1,1,1,1,1,1.0
3981,1,0.439024,0.3,0,0,0,0,0,0.0
2171,0,0.170732,0.95,1,1,1,1,1,1.0
808,1,0.463415,0.6,0,0,0,0,0,0.0
4100,1,0.439024,0.75,1,1,1,1,1,1.0
52,1,0.365854,0.1,0,0,0,0,0,0.0
1596,1,0.707317,0.85,1,1,0,1,1,1.0
899,1,0.512195,0.5,0,0,0,0,0,0.0
4825,1,0.536585,0.45,0,0,0,0,0,0.0
607,1,0.682927,0.75,1,1,1,1,1,1.0
241,0,0.829268,0.65,1,1,1,1,1,1.0
3963,1,0.04878,0.45,0,0,0,0,0,0.0
3785,0,0.390244,0.4,1,0,0,0,0,0.002857142857142857
1055,1,0.439024,0.4,1,1,1,1,1,1.0
4209,1,0.439024,0.5,0,1,0,0,0,0.0
4111,1,0.268293,0.3,0,0,0,0,0,0.0
770,1,0.073171,0.65,1,0,0,1,0,0.6314285714285715
4606,1,0.536585,0.25,1,1,1,1,1,1.0
930,1,0.0,0.0,0,0,0,0,0,0.0
2030,1,0.829268,0.35,0,1,1,0,1,0.9885714285714285
4342,1,0.02439,0.4,1,1,1,1,1,1.0
2488,0,0.317073,0.95,1,1,1,1,1,1.0
3101,1,0.560976,0.55,1,0,0,0,0,0.06935961657390229
1201,1,0.04878,0.25,0,0,0,0,0,0.0
846,1,0.097561,0.45,1,1,1,1,1,1.0
3306,1,0.97561,0.95,0,1,1,1,1,1.0
1528,1,0.292683,0.65,0,1,1,1,1,1.0
860,1,0.0,0.2,0,0,0,0,0,0.0
3069,1,0.585366,0.35,0,0,1,0,0,0.0
3539,1,0.170732,0.3,1,1,1,1,1,1.0
1299,1,0.414634,0.45,0,0,0,0,0,0.0
248,1,0.634146,0.4,1,1,1,1,1,1.0
3455,1,0.829268,0.05,1,1,1,1,1,1.0
3848,1,0.414634,0.6,0,1,1,1,1,1.0
2879,1,0.658537,0.55,0,0,0,1,1,0.0
1387,1,0.487805,0.25,0,0,0,0,0,0.0
3252,1,0.512195,0.55,1,0,0,1,1,0.6171428571428571
3248,1,0.170732,0.4,0,0,0,0,0,0.0
3647,1,0.341463,0.05,1,1,1,1,1,1.0
3294,1,0.439024,0.35,0,0,0,0,0,0.0
1131,1,0.536585,0.0,1,0,1,1,1,1.0
2103,1,1.0,0.45,1,1,1,0,1,1.0
295,1,0.463415,0.55,0,0,0,0,0,0.0
4152,1,0.682927,0.7,0,0,0,0,0,0.0
3559,0,0.219512,0.5,1,1,1,1,1,1.0
3186,1,0.292683,0.35,1,0,0,0,0,0.0
2858,1,0.878049,0.95,1,1,1,0,1,1.0
506,1,0.560976,0.65,0,0,0,0,0,0.0007142857142857143
2287,1,0.585366,0.95,1,0,0,1,1,0.7971428571428572
1452,1,0.390244,0.4,1,0,0,1,1,0.46
1433,1,0.414634,0.0,0,0,0,0,0,0.0
2305,1,0.317073,0.45,0,0,0,0,0,0.0
2314,1,0.121951,0.5,1,1,1,1,1,1.0
3684,1,0.341463,0.3,1,1,0,1,1,0.86
2053,1,0.609756,0.0,0,0,1,0,0,0.0
3283,1,0.073171,0.5,0,0,1,0,0,0.0
3151,1,0.073171,0.1,0,0,0,0,0,0.0
4021,1,0.487805,0.75,1,1,1,1,1,1.0
1955,1,0.365854,0.15,0,1,0,1,1,0.1742857142857143
4891,1,0.219512,0.6,0,0,1,0,0,0.0
1050,1,0.682927,0.45,0,0,0,0,0,0.0
4271,1,0.341463,1.0,1,1,1,1,1,1.0
4743,1,0.585366,0.25,0,1,0,0,0,0.0
247,1,0.170732,0.05,0,0,0,0,0,0.0
1980,1,0.195122,0.05,0,0,1,0,0,0.0
3358,1,0.02439,0.6,0,0,0,1,0,0.0
1498,1,0.682927,0.2,0,1,1,0,0,0.06333333333333332
2821,1,0.317073,0.4,1,0,0,0,0,0.0
3641,0,0.146341,0.45,1,1,1,1,1,1.0
3496,1,0.414634,0.4,1,1,0,0,0,0.6285714285714286
993,1,0.585366,0.1,1,1,1,1,1,1.0
931,1,0.243902,0.4,1,1,1,1,1,1.0
2161,1,0.414634,0.3,0,1,0,0,0,0.0
3781,1,0.487805,0.65,1,1,1,1,1,1.0
3202,1,0.04878,0.7,0,0,1,0,0,0.0
2509,1,0.243902,0.65,1,1,1,0,1,1.0
224,0,0.560976,0.25,1,1,0,1,1,0.9942857142857143
2783,1,0.219512,0.25,0,0,0,0,0,0.0
304,1,0.536585,0.35,0,0,1,1,0,0.24285714285714285
2636,1,0.731707,0.4,1,0,1,1,1,1.0
1718,1,0.756098,0.9,1,1,1,1,1,1.0
2075,1,0.463415,0.25,1,1,1,1,1,1.0
703,1,0.609756,0.0,0,0,0,0,0,0.0
550,1,0.414634,0.35,1,1,1,1,1,1.0
2399,0,0.04878,0.65,1,1,1,0,1,0.9885714285714285
3363,1,0.585366,0.35,1,1,0,0,1,0.3457142857142857
1020,1,0.121951,0.1,0,0,0,0,0,0.0
1121,1,0.536585,0.05,0,0,0,0,0,0.0
3388,1,0.585366,0.7,1,1,1,1,1,1.0
2178,1,0.487805,0.15,1,0,0,0,0,0.0
1827,1,0.609756,0.65,0,1,0,1,1,0.14114285714285713
4654,1,0.341463,0.45,0,0,1,1,1,0.2714285714285714
2357,1,0.170732,0.15,1,0,1,1,1,0.9228571428571428
2724,1,0.804878,0.55,1,1,1,1,1,1.0
4215,1,0.195122,0.9,1,1,1,1,1,1.0
4546,1,0.878049,0.0,1,1,1,1,1,1.0
341,1,0.0,0.45,0,0,0,0,0,0.0
4371,1,0.170732,0.55,1,1,1,1,1,1.0
489,1,0.219512,0.65,0,1,1,1,1,1.0
1332,1,0.170732,0.6,1,1,0,0,0,0.4828571428571429
4046,1,0.682927,0.7,0,0,0,0,0,0.0
2263,1,0.292683,0.9,1,1,1,1,1,1.0
3742,1,0.414634,0.7,1,1,0,1,1,1.0
514,1,0.853659,0.25,1,1,1,1,1,1.0
2915,1,0.121951,0.1,1,0,1,1,1,0.8
4981,1,0.585366,0.65,1,1,1,0,1,1.0
2479,1,0.390244,0.05,1,0,0,0,0,0.0
35,1,0.658537,0.5,1,1,1,1,1,1.0
4328,1,0.341463,0.5,0,0,0,0,0,0.0
1901,1,0.95122,0.55,1,1,1,0,1,1.0
571,1,0.560976,0.25,0,0,0,1,0,0.0
4188,1,0.146341,1.0,1,0,0,0,1,0.94
893,1,0.658537,0.3,1,1,1,1,1,1.0
3419,1,0.926829,0.05,1,1,1,1,1,1.0
3739,1,0.609756,0.65,0,0,0,0,0,0.0
2568,1,0.707317,0.95,1,1,1,0,1,1.0
1408,1,0.926829,0.0,1,1,1,1,1,1.0
2424,1,0.195122,0.25,0,0,0,0,0,0.0
418,1,0.317073,0.65,1,1,1,1,1,1.0
1419,1,0.707317,0.5,0,0,0,0,0,0.0
2273,1,0.463415,0.1,0,0,0,1,0,0.0
1811,1,0.390244,0.75,0,1,1,1,1,1.0
2074,1,0.487805,0.5,0,0,0,0,0,0.0
2009,1,0.341463,0.6,1,0,1,0,0,0.12571428571428572
1731,1,0.195122,0.55,0,1,0,0,0,0.0
27,1,0.268293,0.05,0,0,0,0,0,0.0
352,0,0.341463,0.55,1,0,0,0,0,0.002857142857142857
3403,1,0.609756,1.0,1,1,1,1,1,1.0
2709,1,0.658537,0.8,1,1,1,1,1,1.0
612,1,0.658537,0.35,0,0,0,0,0,0.0
2166,1,0.585366,0.55,0,1,1,0,0,0.4121292517006802
2062,1,0.097561,0.0,1,1,1,1,1,1.0
4349,1,0.170732,0.6,0,0,0,0,0,0.0
3620,1,0.341463,0.05,0,0,0,0,0,0.0
4836,1,0.0,0.55,0,0,0,0,0,0.0
1766,1,0.731707,0.35,0,1,1,1,1,1.0
3044,0,0.512195,0.0,0,0,1,0,0,0.014285714285714285
823,1,0.658537,0.15,1,1,0,1,1,1.0
2948,1,0.902439,0.2,1,0,1,0,1,0.9857142857142858
3295,1,0.487805,0.15,0,1,0,0,0,0.05142857142857143
3689,1,0.195122,0.65,1,1,1,1,1,1.0
1985,0,0.317073,0.65,0,0,0,0,0,0.0
4298,1,0.853659,0.75,1,1,1,1,1,1.0
4867,1,0.268293,0.0,0,0,0,0,0,0.0
622,1,0.658537,0.45,0,0,0,0,0,0.0
878,1,0.487805,0.7,1,1,0,1,1,1.0
202,0,0.317073,0.15,0,1,0,0,0,0.005714285714285714
4254,1,0.439024,0.45,0,1,0,0,0,0.0
2007,1,0.170732,0.25,1,1,1,0,1,0.9714285714285714
2750,1,0.95122,0.45,1,1,1,1,1,1.0
977,0,0.439024,0.6,1,1,1,1,1,1.0
4600,1,0.658537,0.05,0,1,0,0,0,0.0
1672,1,0.170732,0.15,0,1,1,1,1,1.0
2004,1,0.121951,0.15,0,0,0,0,0,0.0
1572,1,0.243902,0.9,0,1,1,1,1,1.0
4419,1,0.512195,0.6,0,1,0,0,0,0.38285714285714284
346,1,0.146341,0.05,0,0,0,0,0,0.0
2160,1,0.95122,0.55,1,1,1,1,1,1.0
1972,0,0.097561,0.45,0,1,0,0,0,0.0
4880,1,0.682927,0.3,0,0,0,0,0,0.0
2765,1,0.536585,0.3,1,1,1,1,1,1.0
4386,1,0.121951,0.1,0,0,0,0,0,0.0
1871,1,0.243902,0.25,1,0,0,0,0,0.0
2901,1,0.585366,0.25,1,1,1,1,1,1.0
895,1,0.390244,0.6,0,0,0,1,0,0.0
2148,1,0.268293,0.4,1,1,0,1,1,1.0
3919,1,0.512195,0.85,1,1,1,0,1,1.0
4768,1,0.390244,0.65,0,0,0,0,0,0.0
2177,1,0.414634,0.55,0,0,0,0,0,0.0
2835,1,0.97561,0.3,1,1,1,1,1,1.0
1140,1,0.634146,0.6,1,1,1,1,1,1.0
902,1,0.195122,0.55,0,0,0,0,0,0.0
1890,1,0.512195,0.05,1,1,1,0,1,1.0
757,1,0.219512,0.55,0,0,1,0,0,0.0
4124,1,0.682927,0.0,0,1,0,0,0,0.09428571428571429
3009,1,0.756098,0.4,1,1,1,1,1,1.0
3150,1,0.682927,0.7,0,1,0,0,0,0.011428571428571429
2123,1,0.97561,0.75,1,0,1,1,1,1.0
3913,1,0.707317,0.5,1,1,1,1,1,1.0
1043,1,0.073171,0.6,0,0,0,0,0,0.0
2877,0,0.512195,0.95,1,1,0,0,1,0.9371428571428572
2025,1,0.268293,0.5,1,1,1,1,1,1.0
2133,1,0.317073,0.1,0,0,0,0,0,0.0
4348,0,0.121951,0.4,0,0,0,1,0,0.0
1371,1,0.317073,0.4,0,0,1,0,0,0.0
2446,1,0.317073,0.55,0,0,1,0,0,0.0
4270,1,0.682927,0.3,0,0,0,0,0,0.0
1094,1,0.317073,0.2,0,1,1,0,0,0.22285714285714286
709,1,0.682927,0.4,0,0,0,0,0,0.0
861,1,0.317073,0.1,0,0,0,1,0,0.002857142857142857
433,1,0.146341,0.05,1,1,1,1,1,1.0
20,1,0.780488,0.6,1,1,1,1,1,1.0
2102,1,0.97561,1.0,1,1,1,1,1,1.0
2925,1,0.634146,0.3,0,1,0,0,0,0.0
2288,1,0.926829,0.25,0,1,1,1,1,1.0
1549,0,0.804878,0.25,1,0,1,1,1,1.0
3142,1,0.512195,0.55,0,0,0,0,0,0.0
4276,0,0.292683,0.65,0,0,0,0,0,0.0
4062,1,0.658537,0.35,0,0,0,0,0,0.0
2450,1,0.097561,0.3,0,0,0,0,0,0.0
1494,1,0.268293,0.5,0,0,0,0,0,0.0
3623,1,0.780488,0.85,1,1,1,0,1,1.0
4927,0,0.439024,0.0,0,1,0,0,0,0.0
2753,1,0.219512,0.9,1,1,1,1,1,1.0
2579,0,0.97561,0.4,0,1,1,1,1,1.0
3534,1,0.658537,0.35,0,0,0,1,0,0.0
1099,1,0.097561,0.0,0,0,0,0,0,0.0
2561,1,0.585366,0.45,0,0,0,0,0,0.0
4064,1,0.804878,0.1,0,0,1,1,1,0.9542857142857143
4711,0,0.634146,0.25,0,0,0,0,0,0.0
307,1,0.682927,1.0,1,1,1,1,1,1.0
3343,1,0.707317,0.65,0,0,0,0,0,0.0
